Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

1/14/2021;18:17:19.795; 1.7931E-06
1/14/2021;18:17:19.797; 7.1806E-07
1/14/2021;18:17:19.800; 1.0763E-06
1/14/2021;18:17:19.802; 3.5951E-07
1/14/2021;18:17:19.804; 1.4348E-06
1/14/2021;18:17:19.806; 7.1806E-07
1/14/2021;18:17:19.808; 3.5951E-07
1/14/2021;18:17:19.810; 7.1806E-07
1/14/2021;18:17:19.812; 1.7931E-06
1/14/2021;18:17:19.814; 7.1806E-07
1/14/2021;18:17:19.816; 3.5951E-07
1/14/2021;18:17:19.818; 1.7931E-06
1/14/2021;18:17:19.820; 1.4348E-06
1/14/2021;18:17:19.822; 7.1806E-07
1/14/2021;18:17:19.825; 1.2786E-09
1/14/2021;18:17:19.827; 7.1806E-07
1/14/2021;18:17:19.829; 3.5951E-07
1/14/2021;18:17:19.831; 1.0763E-06
1/14/2021;18:17:19.833; 7.1806E-07
1/14/2021;18:17:19.835; 1.0763E-06
1/14/2021;18:17:19.837; 7.1806E-07
1/14/2021;18:17:19.839; 3.5951E-07
1/14/2021;18:17:19.841; 1.0763E-06
1/14/2021;18:17:19.843; 7.1806E-07
1/14/2021;18:17:19.845; 7.1806E-07
1/14/2021;18:17:19.847; -3.5727E-07
1/14/2021;18:17:19.849; 7.1806E-07
1/14/2021;18:17:19.851; 7.1806E-07
1/14/2021;18:17:19.853; 3.5951E-07
1/14/2021;18:17:19.855; 3.5951E-07
1/14/2021;18:17:19.857; 2.8681E-06
1/14/2021;18:17:19.858; 7.1806E-07
1/14/2021;18:17:19.861; 7.1806E-07
1/14/2021;18:17:19.863; 7.1806E-07
1/14/2021;18:17:19.865; 7.1806E-07
1/14/2021;18:17:19.867; 7.1806E-07
1/14/2021;18:17:19.869; 3.5951E-07
1/14/2021;18:17:19.871; 7.1806E-07
1/14/2021;18:17:19.873; 7.1806E-07
1/14/2021;18:17:19.875; 3.5951E-07
1/14/2021;18:17:19.877; 3.5951E-07
1/14/2021;18:17:19.879; 1.4348E-06
1/14/2021;18:17:19.881; 1.4348E-06
1/14/2021;18:17:19.883; 3.5951E-07
1/14/2021;18:17:19.885; 3.5951E-07
1/14/2021;18:17:19.887; 7.1806E-07
1/14/2021;18:17:19.889; 3.5951E-07
1/14/2021;18:17:19.891; 7.1806E-07
1/14/2021;18:17:19.893; 1.0763E-06
1/14/2021;18:17:19.896; 1.4348E-06
1/14/2021;18:17:19.898; 7.1806E-07
1/14/2021;18:17:19.900; 7.1806E-07
1/14/2021;18:17:19.902; 3.5951E-07
1/14/2021;18:17:19.904; 3.5951E-07
1/14/2021;18:17:19.906; 3.5951E-07
1/14/2021;18:17:19.908; -3.5727E-07
1/14/2021;18:17:19.910; 3.5951E-07
1/14/2021;18:17:19.912; 7.1806E-07
1/14/2021;18:17:19.914; 1.2786E-09
1/14/2021;18:17:19.916; 3.5951E-07
1/14/2021;18:17:19.918; 3.5951E-07
1/14/2021;18:17:19.920; 1.2786E-09
1/14/2021;18:17:19.922; 1.4348E-06
1/14/2021;18:17:19.924; 3.5951E-07
1/14/2021;18:17:19.926; 3.5951E-07
1/14/2021;18:17:19.928; 1.2786E-09
1/14/2021;18:17:19.930; 3.5951E-07
1/14/2021;18:17:19.931; 7.1806E-07
1/14/2021;18:17:19.933; 3.5951E-07
1/14/2021;18:17:19.934; -3.5727E-07
1/14/2021;18:17:19.936; 1.2786E-09
1/14/2021;18:17:19.938; 1.7931E-06
1/14/2021;18:17:19.940; 3.5951E-07
1/14/2021;18:17:19.942; 1.7931E-06
1/14/2021;18:17:19.944; 7.1806E-07
1/14/2021;18:17:19.946; 3.5951E-07
1/14/2021;18:17:19.948; 3.5951E-07
1/14/2021;18:17:19.950; 7.1806E-07
1/14/2021;18:17:19.952; 7.1806E-07
1/14/2021;18:17:19.955; 7.1806E-07
1/14/2021;18:17:19.957; 3.5951E-07
1/14/2021;18:17:19.959; 7.1806E-07
1/14/2021;18:17:19.961; 7.1806E-07
1/14/2021;18:17:19.963; 7.1806E-07
1/14/2021;18:17:19.965; -3.5727E-07
1/14/2021;18:17:19.967; 1.4348E-06
1/14/2021;18:17:19.969; 1.7931E-06
1/14/2021;18:17:19.971; 1.4348E-06
1/14/2021;18:17:19.973; 3.5951E-07
1/14/2021;18:17:19.975; 7.1806E-07
1/14/2021;18:17:19.977; 1.4348E-06
1/14/2021;18:17:19.980; 3.5951E-07
1/14/2021;18:17:19.982; 1.0763E-06
1/14/2021;18:17:19.984; 1.7931E-06
1/14/2021;18:17:19.987; 1.0763E-06
1/14/2021;18:17:19.990; 7.1806E-07
1/14/2021;18:17:19.992; 7.1806E-07
1/14/2021;18:17:19.994; 1.7931E-06
1/14/2021;18:17:19.996; 1.4348E-06
1/14/2021;18:17:19.998; 1.0763E-06
1/14/2021;18:17:20.000; 1.4348E-06
1/14/2021;18:17:20.002; 3.5951E-07
1/14/2021;18:17:20.004; 7.1806E-07
