Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:45:56.252; 0.0076923
1/14/2021;19:45:56.254; 0.0076902
1/14/2021;19:45:56.256; 0.0076887
1/14/2021;19:45:56.258; 0.0076887
1/14/2021;19:45:56.260; 0.0076887
1/14/2021;19:45:56.262; 0.0076891
1/14/2021;19:45:56.264; 0.007688
1/14/2021;19:45:56.266; 0.007688
1/14/2021;19:45:56.268; 0.0076884
1/14/2021;19:45:56.269; 0.0076891
1/14/2021;19:45:56.271; 0.0076912
1/14/2021;19:45:56.273; 0.0076945
1/14/2021;19:45:56.274; 0.0076948
1/14/2021;19:45:56.276; 0.0076945
1/14/2021;19:45:56.278; 0.0076945
1/14/2021;19:45:56.280; 0.0076952
1/14/2021;19:45:56.282; 0.0076941
1/14/2021;19:45:56.284; 0.0076959
1/14/2021;19:45:56.286; 0.0076945
1/14/2021;19:45:56.288; 0.0076927
1/14/2021;19:45:56.290; 0.0076923
1/14/2021;19:45:56.292; 0.0076916
1/14/2021;19:45:56.294; 0.007692
1/14/2021;19:45:56.296; 0.0076905
1/14/2021;19:45:56.298; 0.0076898
1/14/2021;19:45:56.299; 0.0076916
1/14/2021;19:45:56.307; 0.0076941
1/14/2021;19:45:56.312; 0.0076927
1/14/2021;19:45:56.314; 0.0076927
1/14/2021;19:45:56.316; 0.0076898
1/14/2021;19:45:56.318; 0.0076891
1/14/2021;19:45:56.320; 0.0076895
1/14/2021;19:45:56.321; 0.0076912
1/14/2021;19:45:56.323; 0.0076898
1/14/2021;19:45:56.325; 0.007688
1/14/2021;19:45:56.327; 0.0076869
1/14/2021;19:45:56.329; 0.0076909
1/14/2021;19:45:56.331; 0.0076912
1/14/2021;19:45:56.333; 0.0076923
1/14/2021;19:45:56.335; 0.0076905
1/14/2021;19:45:56.337; 0.0076898
1/14/2021;19:45:56.339; 0.0076909
1/14/2021;19:45:56.341; 0.0076952
1/14/2021;19:45:56.343; 0.0076966
1/14/2021;19:45:56.345; 0.0076973
1/14/2021;19:45:56.347; 0.0076963
1/14/2021;19:45:56.349; 0.0076952
1/14/2021;19:45:56.351; 0.0077002
1/14/2021;19:45:56.353; 0.0077006
1/14/2021;19:45:56.354; 0.0077002
1/14/2021;19:45:56.356; 0.0076999
1/14/2021;19:45:56.358; 0.0076988
1/14/2021;19:45:56.363; 0.0077002
1/14/2021;19:45:56.365; 0.0077031
1/14/2021;19:45:56.367; 0.0077016
1/14/2021;19:45:56.369; 0.0076999
1/14/2021;19:45:56.371; 0.0076991
1/14/2021;19:45:56.373; 0.0077024
1/14/2021;19:45:56.375; 0.0077038
1/14/2021;19:45:56.377; 0.0077045
1/14/2021;19:45:56.379; 0.007702
1/14/2021;19:45:56.381; 0.0077016
1/14/2021;19:45:56.383; 0.0077024
1/14/2021;19:45:56.385; 0.0077041
