Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:22:57.013; 0.00032577
1/14/2021;19:22:57.014; 0.00032541
1/14/2021;19:22:57.015; 0.0003247
1/14/2021;19:22:57.017; 0.00032577
1/14/2021;19:22:57.018; 0.00032613
1/14/2021;19:22:57.019; 0.0003272
1/14/2021;19:22:57.020; 0.00032613
1/14/2021;19:22:57.021; 0.00032613
1/14/2021;19:22:57.022; 0.00032649
1/14/2021;19:22:57.023; 0.00032685
1/14/2021;19:22:57.024; 0.00032649
1/14/2021;19:22:57.025; 0.00032649
1/14/2021;19:22:57.027; 0.00032685
1/14/2021;19:22:57.028; 0.00032756
1/14/2021;19:22:57.030; 0.00032649
1/14/2021;19:22:57.032; 0.00032685
1/14/2021;19:22:57.034; 0.00032685
1/14/2021;19:22:57.035; 0.00032649
1/14/2021;19:22:57.037; 0.00032685
1/14/2021;19:22:57.039; 0.00032649
1/14/2021;19:22:57.040; 0.00032649
1/14/2021;19:22:57.041; 0.00032649
1/14/2021;19:22:57.042; 0.00032685
1/14/2021;19:22:57.044; 0.00032649
1/14/2021;19:22:57.046; 0.00032649
1/14/2021;19:22:57.047; 0.00032685
1/14/2021;19:22:57.048; 0.00032685
1/14/2021;19:22:57.050; 0.00032685
1/14/2021;19:22:57.052; 0.0003272
1/14/2021;19:22:57.054; 0.00032649
1/14/2021;19:22:57.056; 0.00032613
1/14/2021;19:22:57.057; 0.00032756
1/14/2021;19:22:57.059; 0.00032649
1/14/2021;19:22:57.061; 0.00032613
1/14/2021;19:22:57.062; 0.0003272
1/14/2021;19:22:57.063; 0.00032613
1/14/2021;19:22:57.064; 0.00032649
1/14/2021;19:22:57.066; 0.00032577
1/14/2021;19:22:57.067; 0.00032649
1/14/2021;19:22:57.068; 0.0003272
1/14/2021;19:22:57.070; 0.00032577
1/14/2021;19:22:57.071; 0.00032649
1/14/2021;19:22:57.073; 0.0003272
1/14/2021;19:22:57.074; 0.00032685
1/14/2021;19:22:57.075; 0.00032649
1/14/2021;19:22:57.076; 0.00032649
1/14/2021;19:22:57.078; 0.00032613
1/14/2021;19:22:57.079; 0.00032649
1/14/2021;19:22:57.080; 0.00032613
1/14/2021;19:22:57.082; 0.00032649
1/14/2021;19:22:57.084; 0.00032685
1/14/2021;19:22:57.086; 0.00032649
1/14/2021;19:22:57.088; 0.00032613
1/14/2021;19:22:57.090; 0.00032649
1/14/2021;19:22:57.092; 0.00032613
1/14/2021;19:22:57.094; 0.00032649
1/14/2021;19:22:57.096; 0.00032541
1/14/2021;19:22:57.098; 0.00032649
1/14/2021;19:22:57.100; 0.00032613
1/14/2021;19:22:57.101; 0.00032685
1/14/2021;19:22:57.102; 0.00032577
1/14/2021;19:22:57.104; 0.00032577
1/14/2021;19:22:57.106; 0.00032649
1/14/2021;19:22:57.108; 0.00032577
1/14/2021;19:22:57.110; 0.00032613
1/14/2021;19:22:57.112; 0.00032577
1/14/2021;19:22:57.113; 0.00032613
1/14/2021;19:22:57.114; 0.00032577
1/14/2021;19:22:57.116; 0.00032541
1/14/2021;19:22:57.117; 0.00032577
1/14/2021;19:22:57.118; 0.00032577
1/14/2021;19:22:57.119; 0.00032756
1/14/2021;19:22:57.123; 0.00032613
1/14/2021;19:22:57.125; 0.00032577
1/14/2021;19:22:57.127; 0.00032541
1/14/2021;19:22:57.129; 0.00032577
1/14/2021;19:22:57.131; 0.00032541
1/14/2021;19:22:57.133; 0.00032649
1/14/2021;19:22:57.134; 0.00032649
1/14/2021;19:22:57.135; 0.00032756
1/14/2021;19:22:57.136; 0.00032828
1/14/2021;19:22:57.137; 0.0003272
1/14/2021;19:22:57.139; 0.00032792
1/14/2021;19:22:57.141; 0.0003272
1/14/2021;19:22:57.143; 0.00032792
1/14/2021;19:22:57.144; 0.0003272
1/14/2021;19:22:57.145; 0.00032649
1/14/2021;19:22:57.146; 0.0003272
1/14/2021;19:22:57.147; 0.00032756
1/14/2021;19:22:57.148; 0.00032756
1/14/2021;19:22:57.149; 0.00032756
1/14/2021;19:22:57.150; 0.00032792
1/14/2021;19:22:57.151; 0.00032756
1/14/2021;19:22:57.152; 0.00032756
1/14/2021;19:22:57.154; 0.00032792
1/14/2021;19:22:57.156; 0.00032864
1/14/2021;19:22:57.157; 0.0003272
1/14/2021;19:22:57.159; 0.00032792
1/14/2021;19:22:57.161; 0.00032792
1/14/2021;19:22:57.163; 0.00032792
1/14/2021;19:22:57.165; 0.00032864
1/14/2021;19:22:57.166; 0.00032756
1/14/2021;19:22:57.168; 0.00032792
1/14/2021;19:22:57.170; 0.00032756
1/14/2021;19:22:57.172; 0.00032756
1/14/2021;19:22:57.174; 0.00032685
1/14/2021;19:22:57.176; 0.00032756
1/14/2021;19:22:57.178; 0.00032756
1/14/2021;19:22:57.179; 0.0003272
1/14/2021;19:22:57.181; 0.0003272
1/14/2021;19:22:57.182; 0.0003272
1/14/2021;19:22:57.183; 0.0003272
1/14/2021;19:22:57.184; 0.0003272
1/14/2021;19:22:57.186; 0.0003272
1/14/2021;19:22:57.187; 0.0003272
1/14/2021;19:22:57.188; 0.00032685
1/14/2021;19:22:57.189; 0.00032685
1/14/2021;19:22:57.190; 0.00032828
1/14/2021;19:22:57.192; 0.00032756
1/14/2021;19:22:57.194; 0.00032685
1/14/2021;19:22:57.196; 0.0003272
1/14/2021;19:22:57.198; 0.00032756
1/14/2021;19:22:57.200; 0.00032685
1/14/2021;19:22:57.202; 0.00032685
1/14/2021;19:22:57.204; 0.0003272
1/14/2021;19:22:57.206; 0.0003272
1/14/2021;19:22:57.208; 0.00032756
1/14/2021;19:22:57.210; 0.0003272
1/14/2021;19:22:57.212; 0.00032685
1/14/2021;19:22:57.213; 0.00032756
1/14/2021;19:22:57.214; 0.0003272
1/14/2021;19:22:57.215; 0.00032613
1/14/2021;19:22:57.217; 0.00032756
1/14/2021;19:22:57.219; 0.00032756
1/14/2021;19:22:57.220; 0.0003272
1/14/2021;19:22:57.222; 0.0003272
1/14/2021;19:22:57.224; 0.0003272
1/14/2021;19:22:57.226; 0.00032756
1/14/2021;19:22:57.228; 0.00032756
1/14/2021;19:22:57.230; 0.0003272
1/14/2021;19:22:57.232; 0.0003272
1/14/2021;19:22:57.234; 0.00032756
1/14/2021;19:22:57.235; 0.0003272
1/14/2021;19:22:57.236; 0.0003272
1/14/2021;19:22:57.237; 0.00032685
1/14/2021;19:22:57.238; 0.00032792
1/14/2021;19:22:57.239; 0.00032685
1/14/2021;19:22:57.240; 0.00032792
1/14/2021;19:22:57.241; 0.00032685
1/14/2021;19:22:57.242; 0.00032685
1/14/2021;19:22:57.243; 0.00032685
1/14/2021;19:22:57.244; 0.0003272
1/14/2021;19:22:57.245; 0.0003272
1/14/2021;19:22:57.246; 0.0003272
1/14/2021;19:22:57.247; 0.0003272
1/14/2021;19:22:57.249; 0.00032756
1/14/2021;19:22:57.251; 0.00032756
1/14/2021;19:22:57.252; 0.00032756
1/14/2021;19:22:57.254; 0.0003272
1/14/2021;19:22:57.255; 0.0003272
1/14/2021;19:22:57.256; 0.0003272
1/14/2021;19:22:57.258; 0.00032828
1/14/2021;19:22:57.260; 0.00032792
1/14/2021;19:22:57.262; 0.00032685
1/14/2021;19:22:57.264; 0.0003272
1/14/2021;19:22:57.266; 0.00032685
1/14/2021;19:22:57.268; 0.00032685
1/14/2021;19:22:57.269; 0.00032649
1/14/2021;19:22:57.270; 0.00032685
1/14/2021;19:22:57.271; 0.00032756
1/14/2021;19:22:57.272; 0.00032685
1/14/2021;19:22:57.273; 0.00032792
1/14/2021;19:22:57.274; 0.00032649
1/14/2021;19:22:57.275; 0.0003272
1/14/2021;19:22:57.276; 0.0003272
1/14/2021;19:22:57.277; 0.00032756
